rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1681838400,4.299e+00,7.489e+00,1.162e-01,2.024e-01
1681839000,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1681839600,2.106e+00,1.300e+01,5.692e-02,3.514e-01
1681840200,2.401e+00,1.000e+00,6.490e-02,2.705e-02
1681840800,2.500e+01,1.000e+00,6.756e-01,2.705e-02
1681841400,6.308e+00,7.501e+00,1.705e-01,2.027e-01
1681842000,6.506e+00,1.350e+01,1.758e-01,3.649e-01
1681842600,1.777e+01,1.000e+00,4.802e-01,2.705e-02
1681843200,2.106e+00,4.001e+00,5.692e-02,1.081e-01
1681843800,4.306e+00,5.001e+00,1.164e-01,1.352e-01
